Error Category,tiny,medium,large-v3
addition,0.01391812865497076,0.004014641634195301,0.008814196732871078
lexical,0.026900584795321637,0.008501594048884165,0.005876131155247385
morphological,0.010526315789473684,0.002479631597591215,0.002350452462098954
omission,0.13391812865497077,0.16979572558743652,0.1406745798566224
orthographic,0.13228070175438597,0.10402644940370764,0.11270419555764484
phonological,0.01087719298245614,0.0028338646829613886,0.0018803619696791632
pragmatic,0.005730994152046784,0.003660408548825127,0.003878246562463274
